factor,holding,IC_mean,IR,n,pass
KMID,3,-0.01746,-0.0937,1470,fail
KMID,5,-0.015088,-0.0808,1468,fail
KMID,10,-0.010893,-0.0594,1463,fail
KLEN,3,-0.049979,-0.2309,1470,fail
KLEN,5,-0.047992,-0.2255,1468,fail
KLEN,10,-0.044633,-0.2057,1463,fail
KMID2,3,-0.015786,-0.0897,1470,fail
KMID2,5,-0.011113,-0.0634,1468,fail
KMID2,10,-0.007656,-0.0452,1463,fail
KUP,3,-0.027885,-0.1789,1470,fail
KUP,5,-0.024627,-0.1604,1468,fail
KUP,10,-0.022624,-0.1483,1463,fail
KUP2,3,0.00127,0.0098,1470,fail
KUP2,5,0.003007,0.0235,1468,fail
KUP2,10,0.001905,0.0151,1463,fail
KLOW,3,-0.039854,-0.2688,1470,fail
KLOW,5,-0.033279,-0.2253,1468,fail
KLOW,10,-0.026133,-0.1858,1463,fail
KLOW2,3,-0.010572,-0.0873,1470,fail
KLOW2,5,-0.005545,-0.0451,1468,fail
KLOW2,10,0.000748,0.0063,1463,fail
KSFT,3,-0.017202,-0.0906,1470,fail
KSFT,5,-0.013551,-0.072,1468,fail
KSFT,10,-0.00752,-0.0405,1463,fail
KSFT2,3,-0.01837,-0.113,1470,fail
KSFT2,5,-0.01267,-0.0786,1468,fail
KSFT2,10,-0.007268,-0.0465,1463,fail
OPEN0,3,0.01746,0.0937,1470,fail
OPEN0,5,0.015087,0.0808,1468,fail
OPEN0,10,0.010893,0.0594,1463,fail
HIGH0,3,-0.023195,-0.1141,1470,fail
HIGH0,5,-0.02419,-0.1217,1468,fail
HIGH0,10,-0.024541,-0.1238,1463,fail
LOW0,3,0.046282,0.272,1470,fail
LOW0,5,0.040141,0.2345,1468,fail
LOW0,10,0.033854,0.2016,1463,fail
VWAP0,3,0.001666,0.0136,1470,fail
VWAP0,5,-0.001125,-0.009,1468,fail
VWAP0,10,0.00028,0.0023,1463,fail
ROC_5,3,0.026332,0.1365,1465,fail
ROC_5,5,0.021774,0.1165,1463,fail
ROC_5,10,0.017472,0.0925,1458,fail
ROC_10,3,0.025115,0.1271,1460,fail
ROC_10,5,0.02383,0.1211,1458,fail
ROC_10,10,0.019789,0.1016,1453,fail
ROC_20,3,0.021282,0.1033,1450,fail
ROC_20,5,0.021364,0.1046,1448,fail
ROC_20,10,0.019771,0.0991,1443,fail
ROC_30,3,0.023426,0.1071,1440,fail
ROC_30,5,0.025618,0.1199,1438,fail
ROC_30,10,0.028196,0.136,1433,fail
ROC_60,3,0.019439,0.0856,1410,fail
ROC_60,5,0.022713,0.1023,1408,fail
ROC_60,10,0.022615,0.1055,1403,fail
MA_5,3,0.020985,0.1107,1469,fail
MA_5,5,0.020791,0.1125,1467,fail
MA_5,10,0.014214,0.0767,1462,fail
MA_10,3,0.024661,0.1263,1466,fail
MA_10,5,0.022609,0.1176,1464,fail
MA_10,10,0.017929,0.0936,1459,fail
MA_20,3,0.027246,0.1349,1461,fail
MA_20,5,0.02542,0.1278,1459,fail
MA_20,10,0.020378,0.1036,1454,fail
MA_30,3,0.025116,0.1198,1456,fail
MA_30,5,0.024948,0.1209,1454,fail
MA_30,10,0.02324,0.1149,1449,fail
MA_60,3,0.027596,0.1231,1441,fail
MA_60,5,0.029716,0.1358,1439,fail
MA_60,10,0.031473,0.1473,1434,fail
STD_5,3,-0.034747,-0.1689,1469,fail
STD_5,5,-0.035779,-0.1765,1467,fail
STD_5,10,-0.036008,-0.1746,1462,fail
STD_10,3,-0.039455,-0.1819,1466,fail
STD_10,5,-0.03779,-0.1756,1464,fail
STD_10,10,-0.033574,-0.1563,1459,fail
STD_20,3,-0.032728,-0.1422,1461,fail
STD_20,5,-0.030707,-0.135,1459,fail
STD_20,10,-0.031879,-0.1436,1454,fail
STD_30,3,-0.033257,-0.1392,1456,fail
STD_30,5,-0.032066,-0.1365,1454,fail
STD_30,10,-0.034766,-0.1506,1449,fail
STD_60,3,-0.030916,-0.1243,1441,fail
STD_60,5,-0.028981,-0.1181,1439,fail
STD_60,10,-0.029962,-0.1241,1434,fail
VSTD_5,3,-0.009093,-0.0926,1469,fail
VSTD_5,5,-0.010341,-0.1039,1467,fail
VSTD_5,10,-0.009828,-0.0996,1462,fail
VSTD_10,3,-0.006431,-0.0596,1466,fail
VSTD_10,5,-0.00674,-0.0639,1464,fail
VSTD_10,10,-0.006316,-0.0577,1459,fail
VSTD_20,3,-0.000685,-0.0057,1461,fail
VSTD_20,5,-0.003861,-0.0331,1459,fail
VSTD_20,10,-0.010344,-0.0858,1454,fail
RSV_5,3,-0.014424,-0.0833,1469,fail
RSV_5,5,-0.010377,-0.0613,1467,fail
RSV_5,10,-0.00486,-0.0288,1462,fail
RSV_10,3,-0.013754,-0.0774,1466,fail
RSV_10,5,-0.010653,-0.0606,1464,fail
RSV_10,10,-0.005038,-0.0287,1459,fail
RSV_20,3,-0.013125,-0.0727,1461,fail
RSV_20,5,-0.009159,-0.0515,1459,fail
RSV_20,10,-0.002525,-0.0142,1454,fail
RSV_30,3,-0.011619,-0.0614,1456,fail
RSV_30,5,-0.009363,-0.0501,1454,fail
RSV_30,10,-0.00561,-0.0302,1449,fail
RSV_60,3,-0.0168,-0.0838,1441,fail
RSV_60,5,-0.016783,-0.0853,1439,fail
RSV_60,10,-0.015623,-0.0808,1434,fail
