factor,forward,ic_mean,ir,n,status
sentiment_score,fwd_ret_1d,-0.01586244816552133,-0.1358327702283675,42,无效
sentiment_score,fwd_ret_3d,-0.0179305066784379,-0.15562170473545026,40,无效
sentiment_score,fwd_ret_5d,-0.0064449982928458495,-0.04931664483729587,38,无效
news_heat,fwd_ret_1d,0.0023784042293763566,0.021268613039581337,42,无效
news_heat,fwd_ret_3d,-0.003995490060335637,-0.036510340175473305,40,无效
news_heat,fwd_ret_5d,0.0005724625256010139,0.0046258440373879075,38,无效
sentiment_momentum,fwd_ret_1d,-0.02816916201087847,-0.25499259747487135,42,无效
sentiment_momentum,fwd_ret_3d,-0.03541448864378958,-0.2809059274401936,40,无效
sentiment_momentum,fwd_ret_5d,-0.04200404885973237,-0.30434592506197233,38,有效
