,2020,2021,2022,2023,2024,2025,2026
1月,-,-0.0158,-0.0069,0.004,0.0534,-0.0004,-0.0397
2月,-,0.0085,0.0059,0.002,0.0447,-0.056,0.1059
3月,-,0.0069,-0.0109,-0.0031,0.0417,-0.0543,-0.0248
4月,-,0.0062,-0.0147,0.0054,0.0205,-0.0628,0.0117
5月,-,-0.0149,0.006,-0.0034,0.0631,0.013,-0.0355
6月,0.0,-0.0074,0.0009,-0.0003,-0.0105,-0.0006,0.0206
7月,0.0,-0.0032,0.0065,0.0017,0.0725,0.0161,-
8月,0.0,0.0011,0.0035,-0.0037,-0.0248,0.1256,-
9月,0.0,0.0057,-0.0163,-0.0035,0.1344,0.0202,-
10月,0.0,-0.0084,0.0006,0.0127,0.2344,-0.0215,-
11月,0.0,0.0037,0.0051,0.0546,-0.0921,0.0001,-
12月,-0.0018,0.0104,-0.0054,-0.0437,0.0361,0.0436,-
